product_id,serial_no,overall_grade,defects_or_notes,status,price
A1706-2016-I5-8256,C02T92FMGTFJ,-,-,Untested/Upgraded,200
A1706-2016-I5-8256,C02T92Q3GTFJ,-,-,Untested/Upgraded,200
A1706-2017-I5-8256,C02WM6EPHV2L,-,-,Untested/Upgraded,205
A1706-2016-I5-8256,C02T1956GTFJ,-,-,Untested/Upgraded,200
A1706-2016-I5-8256,C02T16GMGTFJ,-,-,Untested/Upgraded,200
A1707-2016-I7-16512,C02T27SFGTFM,-,-,Untested/Upgraded,100
A1707-2017-I7-16512,C02WX3UWHTD6,-,-,Untested/Upgraded,150
A1707-2017-I7-16512,C02W3DVZHTD6,-,-,Untested/Upgraded,125
A1707-2016-I7-16512,C02SYDBDGTFM,-,-,Untested/Upgraded,175
A1707-2016-I7-16512,C02SX56NGTFM,-,-,Untested/Upgraded,150
A1707-2016-I7-16512,C02SX5AMGTFM,-,-,Untested/Upgraded,220
A1707-2017-I7-16512,C02W12PCHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16256,C02VT460HTD5,-,-,Untested/Upgraded,200
A1707-2016-I7-16512,C02SYEYNGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02T556FGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02SW13MGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02T226ZGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02SX81LGTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02WF4JCHTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02T9585GTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02WW469HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W33XLHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WQ1MPHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WX0NRHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W12UDHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16256,C02VNAT6HTD5,-,-,Untested/Upgraded,200
A1707-2017-I7-16512,C02W5AB5HTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02SX5LWGTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02W3DYZHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W12QPHTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02T958JGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02SQGCBGTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02W59YAHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W12G7HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16256,C02VT44YHTD5,-,-,Untested/Upgraded,200
A1707-2017-I7-16512,C02WF4KEHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W28H7HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02VQCWDHTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02SW67DGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02TG02BGTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16256,C02VMDHHHTD5,-,-,Untested/Upgraded,200
A1707-2017-I7-16512,C02WX2WSHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WT2S3HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WX3E6HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16256,C02VMAEUHTD5,-,-,Untested/Upgraded,200
A1707-2017-I7-16512,C02WQ2KGHTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02SX694GTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02WT3SUHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02VQDUEHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02VV37HHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W7055HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16256,C02VNC0LHTD5,-,-,Untested/Upgraded,200
A1707-2017-I7-162,C02WQ2FTHTD6,-,-,Untested/Upgraded,300
A1707-2017-I7-16512,C02WF3P9HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W3E8VHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02V72FHHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W479CHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WQ2DYHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02VW0Z5HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W12V9HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02TP2S1HTD8,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WX0DUHTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02SYC3JGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02TG1WAGTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02SX818GTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-162,C02T60K0H040,-,-,Untested/Upgraded,245
A1707-2017-I7-16512,C02W7092HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WX4JKHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02W7006HTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WF2MSHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WF3W8HTD6,-,-,Untested/Upgraded,225
A1707-2016-I7-16512,C02SQGJ3GTFM,-,-,Untested/Upgraded,240
A1707-2016-I7-16512,C02SQH3GGTFM,-,-,Untested/Upgraded,240
A1707-2017-I7-16512,C02WF2UFHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WT4JVHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02VT4WNHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WQ2KNHTD6,-,-,Untested/Upgraded,225
A1707-2017-I7-16512,C02WQ2K5HTD6,-,-,Untested/Upgraded,225
